id,author_nickname,author_uniqueId,stats_collectCount,stats_commentCount,stats_diggCount,stats_shareCount,stats_playCount,video_duration,isAd
7193488683448749355,Margaret & Stetson,everythingenvy,271,9,1290,52,43700,17,
7192750058377596206,Margaret & Stetson,everythingenvy,352,1,1377,55,50200,16,
7192366965372046634,Margaret & Stetson,everythingenvy,4883,22,16600,391,401300,19,
7190886419601083691,Margaret & Stetson,everythingenvy,46100,349,268600,14600,6100000,12,
7190139438347947306,Margaret & Stetson,everythingenvy,941,22,3521,474,115700,12,
7189719595933175086,Margaret & Stetson,everythingenvy,502,2,1656,212,53100,15,
7189396210497735982,Margaret & Stetson,everythingenvy,271,1,1221,36,42000,12,
7184947913183923502,Margaret & Stetson,everythingenvy,1570,10,6365,163,126500,14,
7184594923650305322,Margaret & Stetson,everythingenvy,893,3,2788,158,79700,19,
7147134478119374123,Margaret & Stetson,everythingenvy,4251,33,18700,320,354300,18,
